iter	MAE
0	364.7560713
1	350.7284165
2	337.0915197
3	324.5988066
4	312.6819043
5	301.5338465
6	290.8546997
7	280.8191383
8	271.2601983
9	262.4260575
10	253.6135124
11	245.8265949
12	238.4664601
13	231.4069698
14	224.7914269
15	218.5025838
16	212.8286103
17	207.5178149
18	201.9578748
19	196.9925467
20	192.1864053
21	188.2143236
22	183.8807087
23	179.9004763
24	176.1918109
25	172.9054855
26	169.8463845
27	166.7602962
28	163.7384849
29	161.4658825
30	159.0419121
31	156.5150965
32	154.2444439
33	152.0140927
34	150.0297794
35	148.1742907
36	146.197105
37	144.3689516
38	142.7270228
39	141.2766773
40	140.0463318
41	138.7820577
42	137.6243145
43	136.4491638
44	135.3435924
45	134.2643667
46	133.4017233
47	132.4418733
48	131.5361325
49	130.8341901
50	130.1557354
51	129.4228062
52	128.6751645
53	128.117015
54	127.5344466
55	126.8728826
56	126.2385595
57	125.6726662
58	125.1486111
59	124.6402674
60	124.0944272
61	123.6527212
62	123.1241612
63	122.7822217
64	122.3947199
65	122.017844
66	121.6847114
67	121.3232421
68	121.0296186
69	120.727131
70	120.4272867
71	120.105433
72	119.872263
73	119.5914948
74	119.3097422
75	119.0459967
76	118.8431815
77	118.5959403
78	118.3371696
79	118.166269
80	117.9631964
81	117.7638391
82	117.5871759
83	117.4208069
84	117.2434895
85	117.0625504
86	116.9057244
87	116.8122921
88	116.7076024
89	116.6006268
90	116.5339151
91	116.4265719
92	116.3243919
93	116.1805778
94	116.0361174
95	115.942587
96	115.8292183
97	115.6957171
98	115.5898891
99	115.5141788
100	115.4457688
101	115.3613489
102	115.2773532
103	115.1917077
104	115.1274297
105	115.0389163
106	114.9545143
107	114.8842209
108	114.78882
109	114.7202636
110	114.6500152
111	114.5763328
112	114.4960833
113	114.4265557
114	114.3706479
115	114.2747506
116	114.1771076
117	114.1191551
118	114.0696015
119	114.0222404
120	113.9473519
121	113.874934
122	113.8136671
123	113.7525574
124	113.6811689
125	113.632249
126	113.5339066
127	113.4790655
128	113.4096306
129	113.3261846
130	113.2752293
131	113.207242
132	113.1508677
133	113.0970258
134	113.0204005
135	112.9680734
136	112.9159796
137	112.875391
138	112.8202531
139	112.7595152
140	112.6914859
141	112.6394103
142	112.5815103
143	112.5550081
144	112.5058594
145	112.4666115
146	112.4087769
147	112.3632047
148	112.3373479
149	112.2914822
150	112.2487851
151	112.1996497
152	112.1414234
153	112.1026975
154	112.0637129
155	112.0125175
156	111.9493669
157	111.9089935
158	111.8639531
159	111.8279531
160	111.7803378
161	111.7000362
162	111.6422438
163	111.5760473
164	111.5350625
165	111.4666308
166	111.3916568
167	111.3373443
168	111.3040547
169	111.2621134
170	111.2131592
171	111.1788658
172	111.1308834
173	111.0760065
174	111.0124242
175	110.9698951
176	110.9400116
177	110.8987773
178	110.8785855
179	110.8179149
180	110.7494813
181	110.7124908
182	110.6461104
183	110.5904189
184	110.5577692
185	110.5084693
186	110.4697226
187	110.4182493
188	110.3713494
189	110.3392005
190	110.2982821
191	110.2415562
192	110.2185572
193	110.1760889
194	110.1341728
195	110.0646627
196	110.0338346
197	109.9641877
198	109.9187413
199	109.872967
200	109.8431981
201	109.7941109
202	109.7538938
203	109.7169607
204	109.6617104
205	109.6139107
206	109.5569713
207	109.5140874
208	109.4816582
209	109.4377098
210	109.3608619
211	109.322446
212	109.2821689
213	109.2152458
214	109.1849503
215	109.1454193
216	109.0986413
217	109.0513068
218	109.0298535
219	108.9398735
220	108.9102316
221	108.8421942
222	108.8059455
223	108.775345
224	108.7430762
225	108.7045841
226	108.6275355
227	108.5830442
228	108.5471153
229	108.5032348
230	108.4549977
231	108.4203226
232	108.4030683
233	108.3549305
234	108.2845088
235	108.2374182
236	108.1946314
237	108.1690795
238	108.1383175
239	108.0675558
240	108.0187751
241	107.9693415
242	107.9326183
243	107.8878104
244	107.8521226
245	107.8284601
246	107.8015863
247	107.7447641
248	107.7119951
249	107.6754058
250	107.6084346
251	107.5607207
252	107.5226425
253	107.4719866
254	107.4227672
255	107.3620511
256	107.3263608
257	107.2629133
258	107.2207299
259	107.1851785
260	107.1203812
261	107.0819903
262	107.0623479
263	107.0189007
264	106.9882707
265	106.9589713
266	106.9171873
267	106.8913374
268	106.8617989
269	106.8220639
270	106.7557955
271	106.7232064
272	106.6919975
273	106.6490749
274	106.6096935
275	106.5754862
276	106.5388238
277	106.5102691
278	106.4594484
279	106.4084816
280	106.3674158
281	106.2985549
282	106.2631108
283	106.2029474
